HSPDA	0.81528	0.66667
HSPDA	0.82577	0.68175
HSPDA	0.82062	0.68698
V8L	0.69188	0.53631
V8L	0.69789	0.56669
V8L	0.69960	0.52093
V9C	0.66327	0.51446
V9C	0.65358	0.5543
V9C	0.65951	0.53247
V10L	0.57281	0.45192
V10L	0.59276	0.46606
V10L	0.58936	0.45127
V11L	0.59472	0.48238
V11L	0.56004	0.46275
V11L	0.588	0.470
V12L	0.78178	0.67142
V12L	0.76544	0.6512
V12L	79.1	66.2
RT-DETR	72.5	63.4
RT-DETR	70.2	64.3
RT-DETR	71.6	63.4
BIO-DETR	46.9	33.6
BIO-DETR	0.443660.27385
BIO-DETR	0.47779	0.30238
SWIN-T	0.578	0.274
SWIN-T	0.576	0.294
SWIN-T	0.583	0.266
SWIN-B	0.754	0.498
SWIN-B	0.750	0.505
SWIN-B	0.751	0.499
SWIN-S	0.729	0.501	
SWIN-S	0.731	0.509
SWIN-S	0.724	0.474
FasterR-CNN	0.667	0.448
FasterR-CNN	0.669	0.448
FasterR-CNN	0.672	0.432
Cascade-R-CNN	0.694	0.545
Cascade-R-CNN	0.692	0.547
Cascade-R-CNN	0.695	0.558
Dynamic-R-CNN	0.610	0.369
Dynamic-R-CNN	0.611	0.372
Dynamic-R-CNN	0.614	0.379
Sparse-R-CNN	0.629	0.487
Sparse-R-CNN	0.628	0.489
Sparse-R-CNN	0.630	0.489
RetinaNet	0.520	0.300
RetinaNet	0.526	0.296
RetinaNet	0.529	0.303
FCOS	0.379	0.282
FCOS	0.370	0.295
FCOS	0.393	0.271


IP102

HSPDA	0.69695	0.4471
HSPDA	0.68588	0.4388
HSPDA	0.67024	0.43908
V8L	0.65627	0.4299
V8L	0.68337	0.43172
V8L	0.65624	0.43577
V9C	0.66868	0.42944
V9C	0.67216	0.43880
V9C	0.65150	0.41463
V10L	0.62378	0.3986
V10L	0.63254	0.40357
V10L	0.60628	0.39084
V11L	0.67426	0.43174
V11L	0.64541	0.39745
V11L	0.65738	0.41241
V12L	0.66263	0.4297
V12L	0.65055	0.41994
V12L	0.64106	0.40448
RT-DETR	0.62549	0.38834
RT-DETR	0.61394	0.37673
RT-DETR	0.63431	0.40036
BIO-DETR	0.55751	0.34222
BIO-DETR	0.54516	0.33787
BIO-DETR	0.57553	0.35682
SWIN-T	0.496	0.305
SWIN-T	0.467	0.301
SWIN-T	0.475	0.314
SWIN-B	0.517	0.338
SWIN-B	0.504	0.318
SWIN-B	0.486	0.306
SWIN-S	0.519	0.339
SWIN-S	0.521	0.334
SWIN-S	0.500	0.318
FasterR-CNN	0.512	0.338
FasterR-CNN	0.498	0.315
FasterR-CNN	0.484	0.324
Cascade-R-CNN	0.477	0.341
Cascade-R-CNN	0.455	0.338
Cascade-R-CNN	0.460	0.323
Dynamic-R-CNN	0.471	0.287
Dynamic-R-CNN	0.440	0.258
Dynamic-R-CNN	0.456	0.273
Sparse-R-CNN	0.465	0.321
Sparse-R-CNN	0.457	0.312
Sparse-R-CNN	0.444	0.301
RetinaNet	0.506	0.383
RetinaNet	0.484	0.362
RetinaNet	0.496	0.373
FCOS	0.405	0.282
FCOS	0.396	0.261
FCOS	0.383	0.254
